Estacao;Plano;x;y;z
0.0;1.0;0.984069683751787;-4.084374422348372;-0.4712871009017859
0.0;1.0;1.1337353641191872;-4.056951954073853;-0.3148351022181804
0.0;1.0;1.4720543574409695;-3.9990692255898623;-0.0328367581941564
0.0;1.0;1.8509885132695152;-3.9803529070970805;-0.16583350746877104
0.0;2.0;0.0505327453973411;6.138939575364642;-0.000292559749105485
0.0;2.0;0.205598082923032;6.144292750037511;0.09055605143157447
0.0;2.0;0.6656922193520288;6.162443381217148;0.3603640096841605
0.0;2.0;0.9295036742417658;6.193076454513525;0.23943281188619642
0.0;3.0;0.6186392483166417;1.5420906514131467;-1.9317106840874843
0.0;3.0;1.210238376987713;1.7240218819146134;-1.8840926194653154
0.0;3.0;1.3399616976654836;0.9847130458440658;-1.931568677317695
0.0;3.0;1.1386311924231405;1.0991875967394318;-1.9401799512295848
0.0;4.0;0.8716428502663766;1.5157056225038845;1.2062749297036135
0.0;4.0;0.6023600947463966;1.4087072906873301;1.1911542014908232
0.0;4.0;1.1096992253417604;1.1843004550957865;1.197423130711223
0.0;4.0;0.7357056842089862;0.8540049814223486;1.1648139263365866
0.0;5.0;-5.196605831255407;0.528066006778802;-0.3699366635686243
0.0;5.0;-5.210294435034084;1.0410948818704944;-0.005231532283589364
0.0;5.0;-5.1140156214265415;0.26650233523219585;0.4507351331927268
0.0;5.0;-5.175803262842833;0.17649934181484353;-0.4336561477175921
0.0;6.0;7.020284383503804;1.6782584226593296;-0.16982535076204058
0.0;6.0;7.015473697397408;1.6166957573365934;-0.07075341924361647
0.0;6.0;6.99890343676258;1.3223809712125756;0.34952016436689504
0.0;6.0;7.018667073212497;1.3171316875106984;0.15247200075128595
1.0;1.0;-0.8862034625473174;-6.22508096062863;-0.27695495556838795
1.0;1.0;-0.7327741267399843;-6.202749076752554;-0.1264596916096348
1.0;1.0;-0.3871100571823679;-6.155232810024174;0.14193373660395492
1.0;1.0;-0.018246159359660983;-6.13669380883816;-0.004854089303597217
1.0;2.0;-1.8182098729410763;3.9828579956980708;-0.1625317701710275
1.0;2.0;-1.6575293369297581;3.987637192314426;-0.07746836865856668
1.0;2.0;-1.1818438153293447;4.002563225935441;0.17619599207110356
1.0;2.0;-0.9200957727130141;4.038898978962952;0.04565812591155237
1.0;3.0;-1.616322276949215;-0.8431349240375641;-1.9143889440821866
1.0;3.0;-1.0528830249866645;-0.6463305909270922;-1.977266585603326
1.0;3.0;-0.9158868442554124;-1.4053199404372887;-1.93000675052299
1.0;3.0;-1.122506327955963;-1.2942317503547112;-1.926168099279793
1.0;4.0;-0.7235063149765182;-0.7624591198402815;1.1601629429771647
1.0;4.0;-0.9991741853996553;-0.8650166632593334;1.1771243355403334
1.0;4.0;-0.48322381448577517;-1.0788441322247915;1.1682281981173719
1.0;4.0;-0.858116715968325;-1.4210855263071471;1.2000180822387585
1.0;5.0;-7.020915235828618;-1.6897768966671156;-0.18559852773553537
1.0;5.0;-7.030521327026215;-1.1688423090535354;0.1605641849893204
1.0;5.0;-6.915946119626546;-1.9254367815381512;0.6365162020581494
1.0;5.0;-6.997294504600284;-2.04053310833455;-0.23870703318033348
1.0;6.0;5.196234355140757;-0.539207697761511;-0.3537146427360359
1.0;6.0;5.193250044159571;-0.5982919829996384;-0.25213350758877945
1.0;6.0;5.185624517255024;-0.8813194524051127;0.18008184569723695
1.0;6.0;5.199561145350267;-0.8925770913514618;-0.01811597947521498
2.0;1.0;-0.6490143946121218;-6.231171128422115;-0.6041359737101677
2.0;1.0;-0.5381974858231904;-6.209626959928629;-0.42180868691543977
2.0;1.0;-0.2687747261113214;-6.1626742515285065;-0.07808036697870799
2.0;1.0;0.13433785063938852;-6.134059004190056;-0.12099943366575903
2.0;2.0;-1.6092905391366115;4.040072008966229;-0.5324130495060773
2.0;2.0;-1.4778164823757838;4.037954002773551;-0.406990349220002
2.0;2.0;-1.090049022924914;4.032243258385725;-0.033461050314897545
2.0;2.0;-0.8070427185910666;4.062171402110029;-0.093869100041885
2.0;3.0;-1.0402467831190676;-0.8663206652075764;-2.270602203725471
2.0;3.0;-0.4379209066082063;-0.7047031267313483;-2.1788776538271204
2.0;3.0;-0.2985495187178049;-1.427073415935491;-2.1007209605130073
2.0;3.0;-0.5129768047917935;-1.3238595704595024;-2.151611131700827
2.0;4.0;-1.012679693912289;-0.7857087988947906;0.8988464120042816
2.0;4.0;-1.2844921859066676;-0.8772383948530297;0.8442494920028298
2.0;4.0;-0.76506112902789;-1.123293343145142;0.9565879852344938
2.0;4.0;-1.138527773075358;-1.454323439418456;0.8857706319911777
2.0;5.0;-6.754745143179829;-1.5670622063867077;-2.025037682291591
2.0;5.0;-6.850053562358959;-1.0311217695975374;-1.6833767907930464
2.0;5.0;-6.870680449566126;-1.8077000494258175;-1.2119162908450916
2.0;5.0;-6.7196606487046235;-1.9275862750578436;-2.0768867847015016
2.0;6.0;5.125642830987479;-0.407761325842386;0.9890534533836606
2.0;6.0;5.098726547941278;-0.466182972032205;1.0849108947927826
2.0;6.0;4.991442602807323;-0.7461578953636182;1.4928510375654918
2.0;6.0;5.055256876126269;-0.756093609491716;1.3058171874415723
3.0;1.0;-0.3263296777705395;-6.227442418889592;-0.8521522467532052
3.0;1.0;-0.2665375187317382;-6.207463889394449;-0.6506887862476769
3.0;1.0;-0.09325390249535682;-6.163033254758154;-0.2553725474100222
3.0;1.0;0.31561034077459255;-6.125617737385386;-0.19121934047742772
3.0;2.0;-1.3110984407554027;4.095015138810388;-0.8410311669812726
3.0;2.0;-1.2188802709429916;4.086727891183865;-0.6838430060916926
3.0;2.0;-0.9478990393530341;4.062408000491047;-0.21596494577775222
3.0;2.0;-0.6629854141825746;4.08424920719071;-0.20180339897361602
3.0;3.0;-0.3079627029181283;-0.9304839649971625;-2.455120729579862
3.0;3.0;0.34749790040166206;-0.7082897119541561;-2.193959876746383
3.0;3.0;0.37664944093828445;-1.410561969483266;-2.099321088452999
3.0;3.0;0.1891063338072402;-1.3261283803037403;-2.2024536635483374
3.0;4.0;-1.2222226316669609;-0.7885359388512042;0.5789354569182059
3.0;4.0;-1.470652577683246;-0.8724936853141191;0.45624592781443957
3.0;4.0;-0.988351327999524;-1.1465557699191296;0.6861038976024967
3.0;4.0;-1.330071560757636;-1.4692376593793894;0.5178244031802977
3.0;5.0;-6.014550721432967;-1.4600106533837818;-3.7251298009618417
3.0;5.0;-6.193539722588862;-0.9037525258487968;-3.412257377080624
3.0;5.0;-6.340558561649793;-1.6978654206530404;-2.97612844890811
3.0;5.0;-5.966926860638745;-1.83211000645901;-3.7712124790349826
3.0;6.0;4.712019821709005;-0.2850987764633537;2.2654576471072616
3.0;6.0;4.664184941202165;-0.34335991671298866;2.3492240049837423
3.0;6.0;4.470971613602083;-0.6224603705701153;2.706069289528239
3.0;6.0;4.579218966530337;-0.6301056876026637;2.5428681908375754
4.0;1.0;0.0588950095859152;-6.2132019447256175;-1.0031682624213598
4.0;1.0;0.06301067964443248;-6.195823537529226;-0.7967725080760439
4.0;1.0;0.12721481629898246;-6.156152159451666;-0.3774881557728504
4.0;1.0;0.5127767960478795;-6.111635028335216;-0.21058163691979706
4.0;2.0;-0.94276590980064;4.143706722123481;-1.0659965162315679
4.0;2.0;-0.8973633942570433;4.13045762827429;-0.8880956863609352
4.0;2.0;-0.7645243769386055;4.090879964515411;-0.35849100694145103
4.0;2.0;-0.4977185235017279;4.10371144964339;-0.270544759925437
4.0;3.0;0.5424885306397482;-0.898260006156799;-2.426333527728978
4.0;3.0;0.9973273020399398;-0.61201364258717;-2.016597778812024
4.0;3.0;1.005305119675523;-1.348516194053755;-1.92602299941202
4.0;3.0;0.8680251230927023;-1.2676630013727723;-2.069962011062281
4.0;4.0;-1.338899392823391;-0.7804238898150934;0.2215182150501119
4.0;4.0;-1.5467128304836593;-0.8592884830677819;0.03908074578286427
4.0;4.0;-1.1346244525875802;-1.155467516574894;0.37375019615939825
4.0;4.0;-1.4183435262390522;-1.4729981837742847;0.12029032038090984
4.0;5.0;-4.850862602293138;-1.389642293623167;-5.169242674913372
4.0;5.0;-5.10748057875132;-0.8028499273867495;-4.90808287037602
4.0;5.0;-5.363180726133784;-1.6157329861728045;-4.535247492803477
4.0;5.0;-4.788794234576014;-1.777469849513908;-5.204895533146569
4.0;6.0;3.9876433292233786;-0.1786627703054311;3.3887299622075693
4.0;6.0;3.924116599845979;-0.2370988794031903;3.4549187625663564
4.0;6.0;3.669044000511695;-0.5170617293078013;3.737729039495527
4.0;6.0;3.8122918005444726;-0.5214324032997122;3.6092932318176136
5.0;1.0;0.47862409690202884;-6.187894776207771;-1.046217378593523
5.0;1.0;0.4266720610714563;-6.174404207344064;-0.8495467734087279
5.0;1.0;0.3769966910417846;-6.1420557821283115;-0.43579191333009015
5.0;1.0;0.7119075119229978;-6.092698038555535;-0.17772364332322627
5.0;2.0;-0.5300261610709216;4.182927650415835;-1.1906511127271793
5.0;2.0;-0.5355778739405976;4.166319713249883;-1.0047843631274238
5.0;2.0;-0.5523593949934613;4.115809122053391;-0.4509174854110472
5.0;2.0;-0.322781388779301;4.11946847600921;-0.2952245042643859
5.0;3.0;1.239816032678734;-0.7996587156337198;-2.1935499483581458
5.0;3.0;1.5122581339683567;-0.5423317478107413;-1.6896273728783393
5.0;3.0;1.5313898655992213;-1.2741162516136326;-1.6031755239053331
5.0;3.0;1.4418750943084864;-1.1903102194482773;-1.774637320834997
5.0;4.0;-1.3561846564037443;-0.7676339488958234;-0.1492804398895444
5.0;4.0;-1.5088731093779553;-0.8437826928956056;-0.37888954692969357
5.0;4.0;-1.1932867944506231;-1.156123607752456;0.04014809068697172
5.0;4.0;-1.3970312942779375;-1.471670526958142;-0.2799664120832486
5.0;5.0;-3.3315765805735285;-1.393438382918763;-6.25635440839797
5.0;5.0;-3.664781124351795;-0.751589445153164;-6.068335517028907
5.0;5.0;-3.9993085803339317;-1.5898188392804875;-5.7810706051990275
5.0;5.0;-3.246229409343548;-1.8049252734499426;-6.275916361550977
5.0;6.0;3.010539639101013;-0.09621953527251458;4.2830016747358055
5.0;6.0;2.939427823891464;-0.15497348877732478;4.3274840161048465
5.0;6.0;2.661316922400902;-0.43785836159837815;4.519460960780032
5.0;6.0;2.8249171764049223;-0.43761922443639173;4.434048998129146
6.0;1.0;0.9020610279647944;-6.151681645352758;-0.9781576697459825
6.0;1.0;0.7980017179500778;-6.143443683339473;-0.8051950393297644
6.0;1.0;0.6382588251553868;-6.121104247253143;-0.4261440999556044
6.0;1.0;0.8990195070158318;-6.069770543762422;-0.09495714836692518
6.0;2.0;-0.1034097630900376;4.210848963889929;-1.2056197395846497
6.0;2.0;-0.15993645191344355;4.192606059621609;-1.0252463063226376
6.0;2.0;-0.3263087326432748;4.135822573485542;-0.4866276407203258
6.0;2.0;-0.15058590489833687;4.130806808696879;-0.27408913178663535
6.0;3.0;1.7978200840418601;-0.7209389636137208;-1.7989855998527413
6.0;3.0;1.9122502078672992;-0.4811719692050848;-1.244050532004002
6.0;3.0;1.9368745671081469;-1.1997266196686245;-1.160978833951437
6.0;3.0;1.8942015632163305;-1.1143600593032605;-1.3473610959015305
6.0;4.0;-1.2737142821611385;-0.7551592429718517;-0.5081041199093638
6.0;4.0;-1.360096277383798;-0.8313568544118325;-0.7689008249936046
6.0;4.0;-1.1602768085286823;-1.1535274936434288;-0.2920600766928138
6.0;4.0;-1.2668991297633987;-1.47021655119177;-0.6552264162947284
6.0;5.0;-1.4403054420723334;-1.5909318889899586;-6.897644487854504
6.0;5.0;-1.9354903396846599;-0.8305272783659401;-6.810602390066738
6.0;5.0;-2.2934278309119636;-1.6876848650480603;-6.620776312899128
6.0;5.0;-1.2972138003826552;-2.0062778052774446;-6.890208452736134
6.0;6.0;1.8726216672419274;-0.048400632678932534;4.889545575356525
6.0;6.0;1.8081846177500542;-0.10786345192206498;4.910214301596785
6.0;6.0;1.578769198690542;-0.4037269507237246;5.004432779928123
6.0;6.0;1.736222684110715;-0.3938693182206132;4.966171151732265
7.0;1.0;1.2984051597236417;-6.105857590090712;-0.8039531836870052
7.0;1.0;1.150157914742232;-6.104047291537663;-0.6669254211707135
7.0;1.0;0.8923963136935106;-6.094141219679007;-0.34923049905712006
7.0;1.0;1.0611475489561173;-6.044196807981939;0.03190946054561835
7.0;2.0;0.30467241978044274;4.227416376224217;-1.1097689087949034
7.0;2.0;0.20143612088598653;4.208974169511206;-0.947953141270473
7.0;2.0;-0.10259167289405613;4.1501046684869936;-0.4630533428452131
7.0;2.0;0.0065732774439307895;4.1373653202405976;-0.20864049604079662
7.0;3.0;2.221446333643054;-0.6491408073030385;-1.2775177616597064
7.0;3.0;2.1799451635958422;-0.4202335076111459;-0.7121319613755568
7.0;3.0;2.206595896441306;-1.1261818112863797;-0.6335203084915536
7.0;3.0;2.21078787206391;-1.0400005662112422;-0.8221895363150492
7.0;4.0;-1.0967061456754876;-0.7477041026352713;-0.8300346718276008
7.0;4.0;-1.10891394317551;-0.8274840443269543;-1.1035418455237194
7.0;4.0;-1.0372320677935305;-1.1517696898760006;-0.5997860105256757
7.0;4.0;-1.0347377046502024;-1.4722131077705307;-0.9786716593872423
7.0;5.0;1.2262031462199057;-1.6101369695977155;-6.934473902613886
7.0;5.0;0.8932894759888848;-1.0543980078211188;-6.9936029401086035
7.0;5.0;0.0326298621534225;-1.9337398814100257;-6.94279164082433
7.0;5.0;1.2418235008790444;-1.992514505770921;-6.904393321282149
7.0;6.0;0.7729972298709105;-0.07398483565829123;5.178195823842581
7.0;6.0;0.752726819375483;-0.1426675969291304;5.17729841866522
7.0;6.0;0.700034890585739;-0.5451877883195535;5.187733272800716
7.0;6.0;0.8006886048082097;-0.48500629822463703;5.191928813626654
